type,quantity_account_current,detail_location,estate_quantity,department,city,locality,latitude,longitude,location_address,infrastructure_type,description,registry_number,cadastral_current_account,estate_status,committed_investment,transfer,balance_for_transfer,tenant,rent_amount,rent_amount_period,contract_resolution,contract_number,current_period_start,current_period_end,status_documentation,land_area_mt2,land_area_hectares,land_sub_area,built_area_m2,built_value_gs,property_value_gs,total_value_gs,possession_rent_without_title,created_at,updated_at
RENTA,1,0,1,CAPITAL,ASUNCION,PENDIENTE,0,0,OLIVA e INDEPENDENCIA NACIONAL,BALDIO,HOTEL GUARANI,1.682,11-045-00,ALQUILADO + INV,3.260.000 USS,1.95.372.92-2008337.38,0,LA GLORIA HOTELERA,$ 13.600,0,RCA 036-006/06. CONTRATO SIN NUMERO,S/N,29/6/06,28/6/26,A,4.105.95,0,0,21.828.00,73.450.746.305,6.569.520.000,80.020.266.305,0,2024-01-26,2024-01-27
RENTA,2,0,2,CAPITAL,ASUNCION,PENDIENTE,0,0,FALSO,BALDIO,EDIFICIO RENTA PALMA,2.154,10-402-13,USUFRUCTO DEL IPS,0,0,0,FALSO, N/A ,0,RCA. 032-033/17. DE FECHA 11/05/17 POR USUFRUCTO DE LA DIRECCION DE TESORERIA,0,NO ESTABLECE PLAZO,0,A,367.54,0,0,2.895.00,2.725.730.035,1.265.517.516,3.991.247.551,0,2024-01-26,2024-01-27
RENTA,3,0,3,CAPITAL,ASUNCION,PENDIENTE,0,0,AYOLAS esq. ESTRELLA,BALDIO,ESTACIONAMIENTO ,4.528,10-423-01,ALQUILADO,0,0,0,A Y M ASOCIADOS S.A., G. 16000000 ,0,FALSO,012/2016,28/2/17,28/2/18,A,776.34,0,0,88.92,5.840.850,2.258.462.029,2.264.302.879,0,2024-01-26,2024-01-27
RENTA,4,0,4,CAPITAL,ASUNCION,PENDIENTE,0,0,FALSO,BALDIO,VIVIENDA/TALLER,1.074,11-090-11,EN GESTION JUDICIAL,0,0,0,ANTONIA BENITEZ DE FORNERON, N/A ,0,EN PROCESO JUDICIAL POR COBRO,0,0,0,A,470,0,0,413.66,54.514.602,525.676.507,580.191.109,0,2024-01-26,2024-01-27
RENTA,5,0,5,CAPITAL,ASUNCION,PENDIENTE,0,0,FALSO,BALDIO,ADMINISTRATIVO PUBLICO,2.775,12-018-03,ALQUILADO,0,0,0, SECRETARIA NACIONALL DE  CULTURA, Gs 11.612.720 ,0,FALSO,FALSO,1/1/16, 31/12/2017,A,396.63,0,0,712,340.716.254,837.188.509,1.177.904.763,0,2024-01-26,2024-01-27
RENTA,6,0,6,CAPITAL,ASUNCION,PENDIENTE,0,0,FALSO,BALDIO,FALSO,3.335,12-102-36,DISPONIBLE,0,0,0,DISPONIBLE, N/A ,0,ACTUALMENTE SE ANALIZA CONVENIO CON LA MUNICIPALIDAD,0,0,0,A,1.462.40,0,0,718.23,340.716.254,2.126.069.426,2.466.785.680,0,2024-01-26,2024-01-27
RENTA,7,0,7,CAPITAL,ASUNCION,PENDIENTE,0,0,FALSO,BALDIO,VIVIENDA ,3.842,10-256-04,ALQUILADO,0,0,0, FRANCISCO ROJAS SOSA, Gs 2.000.000 ,0,FALSO,FALSO,1/1/17,31/12/18,A,399,0,0,260,146.021.252,525.676.507,671.697.759,0,2024-01-26,2024-01-27
RENTA,8,0,8,CAPITAL,ASUNCION,PENDIENTE,0,0,FALSO,BALDIO,VIVIENDA ,5.327,10-441-17,DISPONIBLE,0,0,0,DISPONIBLE, N/A ,0,RCA 101-020/16 DEJAR SIN EFECTO EL USUFRUCTO DE JUBILACIONES,0,0,0,A,379.43,0,0,430.56,214.164.503,856.658.011,1.070.822.514,0,2024-01-26,2024-01-27
RENTA,9,0,9,CAPITAL,ASUNCION,PENDIENTE,0,0,Carreteros del Chaco c/ Av. J. L. Mallorquin,BALDIO,VIVIENDA ,9.125,10-595-07,EN GESTION JUDICIAL,0,0,0,ANA JOSEFINA GONZALEZ DE MELOT, N/A ,0,EN PROCESO JUDICIAL POR COBRO,0,0/1/00,0,A,416,0,0,191.3,77.877.999,126.551.752,204.429.751,0,2024-01-26,2024-01-27
RENTA,10,0,10,CAPITAL,ASUNCION,PENDIENTE,0,0,FALSO,BALDIO,VIVIENDA ,5.882,11-167-23,ALQUILADO,0,0,0, MARIA CELESTE ACHA DE JARA, Gs 2.361.298 ,0,RCA 106-009/16. CONTRATO VIGENTE AL 31/12/2018,FALSO,1/1/17, 31/12/2018,A,432,0,0,555.56,418.594.257,564.615.507,983.209.764,0,2024-01-26,2024-01-27
RENTA,11,0,11,CAPITAL,ASUNCION,PENDIENTE,0,0, BATALLON 40 c/ ITURBE,BALDIO,BALDIO CON PISCINA,5.956,11-177-29,DISPONIBLE,0,0,0,DISPONIBLE,0,0,0,0,0/1/00,0,A,372.67,0,0,0,0,963.740.262,973.475.014,0,2024-01-26,2024-01-27
RENTA,12,0,12,CAPITAL,ASUNCION,PENDIENTE,0,0,ITURBE 1860 y BATALLON 40,BALDIO,VIVIENDA ,2.982,11-177-41,DISPONIBLE,0,0,0,DISPONIBLE,0,0,0,0,0/1/00,0,A,368,0,0,139.2,9.734.752,0,0,0,2024-01-26,2024-01-27
RENTA,13,0,0,CAPITAL,ASUNCION,PENDIENTE,0,0,ITURBE 1860 y BATALLON 40,BALDIO,BALDIO,2.982,11-177-42,DISPONIBLE,0,0,0,DISPONIBLE,0,0,0,0,0/1/00,0,A,368,0,0,0,0,0,0,0,2024-01-26,2024-01-27
RENTA,14,0,13,CAPITAL,ASUNCION,PENDIENTE,0,0,23 PROYECTADA 640  c/ ANTEQUERA,BALDIO,VIVIENDA ,7.541,11-473-08,REMITIDO A CONSEJO PARA SU NO RENOVACION,0,0,0,ANTONIO CONTRERA DUARTE, Gs 880.490 ,0,FALSO,FALSO,??,31/12/16,A,300,0,0,100,48.673.750,126.551.752,175.225.502,0,2024-01-26,2024-01-27
RENTA,15,0,14,CAPITAL,ASUNCION,PENDIENTE,0,0,FALSO,BALDIO,OFICINAS ADMNISTRATIVAS,9.955,12-034-28,ALQUILADO,0,0,0,APEJUIPS-  Capital, Gs 1.760.980 ,0,RCA. 107-001/15.,FALSO,1/1/16,12/31/2016,A,523.99,0,0,293.35,58.408.501,603.554.508,661.963.009,0,2024-01-26,2024-01-27
RENTA,16,0,15,CAPITAL,ASUNCION,PENDIENTE,0,0,TENIENTE ROSS y PILAR,BALDIO,VIVIENDA ,2.067,14-326-07,EN GESTION JUDICIAL,0,0,0,OCUPACION PRECARIA, N/A ,0,EN PROCESO JUDICIAL, ,0/1/00,0,A,350,0,0,53.6,3.893.899,103.188.352,107.082.251,0,2024-01-26,2024-01-27
