id;type;quantity_account_current;detail_location;estate_quantity;department;city;locality;latitude;longitude;location_address;infrastructure_type;description;registry_number;cadastral_current_account;estate_status;start_date_contract;end_date_contract;committed_investment;transfer;balance_for_transfer;tenant;rent_amount;rent_amount_period;contract_resolution;contract_number;current_period_start;current_period_end;status_documentation;land_area_mt2;land_area_hectares;land_sub_area;built_area_m2;built_value_gs;property_value_gs;total_value_gs;possession_rent_without_title
1;RENTA;1;0;1;CAPITAL;ASUNCION;PENDIENTE;0;0;OLIVA e INDEPENDENCIA NACIONAL;BALDIO;HOTEL GUARANI;1.682;11-045-00;ALQUILADO + INV;2023-10-23 04:01:49;2023-10-23 04:01:49;3.260.000 USS;1.95.372.92-2008337.38;0;LA GLORIA HOTELERA;$ 13.600;0;RCA 036-006/06. CONTRATO SIN NUMERO;S/N;29/6/06;28/6/26;A;4.105.95;0;0;21.828.00;73.450.746.305;6.569.520.000;80.020.266.305;0
2;RENTA;2;0;2;CAPITAL;ASUNCION;PENDIENTE;0;0;FALSO;BALDIO;EDIFICIO RENTA PALMA;2.154;10-402-13;USUFRUCTO DEL IPS;2023-10-23 04:01:49;2023-10-23 04:01:49;0;0;0;FALSO; N/A ;0;RCA. 032-033/17. DE FECHA 11/05/17 POR USUFRUCTO DE LA DIRECCION DE TESORERIA;0;NO ESTABLECE PLAZO;0;A;367.54;0;0;2.895.00;2.725.730.035;1.265.517.516;3.991.247.551;0
3;RENTA;3;0;3;CAPITAL;ASUNCION;PENDIENTE;0;0;AYOLAS esq. ESTRELLA;BALDIO;ESTACIONAMIENTO ;4.528;10-423-01;ALQUILADO;2023-10-23 04:01:49;2023-10-23 04:01:49;0;0;0;A Y M ASOCIADOS S.A.; G. 16000000 ;0;FALSO;012/2016;28/2/17;28/2/18;A;776.34;0;0;88.92;5.840.850;2.258.462.029;2.264.302.879;0
4;RENTA;4;0;4;CAPITAL;ASUNCION;PENDIENTE;0;0;FALSO;BALDIO;VIVIENDA/TALLER;1.074;11-090-11;EN GESTION JUDICIAL;2023-10-23 04:01:49;2023-10-23 04:01:49;0;0;0;ANTONIA BENITEZ DE FORNERON; N/A ;0;EN PROCESO JUDICIAL POR COBRO;0;0;0;A;470;0;0;413.66;54.514.602;525.676.507;580.191.109;0
5;RENTA;5;0;5;CAPITAL;ASUNCION;PENDIENTE;0;0;FALSO;BALDIO;ADMINISTRATIVO PUBLICO;2.775;12-018-03;ALQUILADO;2023-10-23 04:01:49;2023-10-23 04:01:49;0;0;0; SECRETARIA NACIONALL DE  CULTURA; Gs 11.612.720 ;0;FALSO;FALSO;1/1/16; 31/12/2017;A;396.63;0;0;712;340.716.254;837.188.509;1.177.904.763;0
6;RENTA;6;0;6;CAPITAL;ASUNCION;PENDIENTE;0;0;FALSO;BALDIO;FALSO;3.335;12-102-36;DISPONIBLE;2023-10-23 04:01:49;2023-10-23 04:01:49;0;0;0;DISPONIBLE; N/A ;0;ACTUALMENTE SE ANALIZA CONVENIO CON LA MUNICIPALIDAD;0;0;0;A;1.462.40;0;0;718.23;340.716.254;2.126.069.426;2.466.785.680;0
7;RENTA;7;0;7;CAPITAL;ASUNCION;PENDIENTE;0;0;FALSO;BALDIO;VIVIENDA ;3.842;10-256-04;ALQUILADO;2023-10-23 04:01:49;2023-10-23 04:01:49;0;0;0; FRANCISCO ROJAS SOSA; Gs 2.000.000 ;0;FALSO;FALSO;1/1/17;31/12/18;A;399;0;0;260;146.021.252;525.676.507;671.697.759;0
8;RENTA;8;0;8;CAPITAL;ASUNCION;PENDIENTE;0;0;FALSO;BALDIO;VIVIENDA ;5.327;10-441-17;DISPONIBLE;2023-10-23 04:01:49;2023-10-23 04:01:49;0;0;0;DISPONIBLE; N/A ;0;RCA 101-020/16 DEJAR SIN EFECTO EL USUFRUCTO DE JUBILACIONES;0;0;0;A;379.43;0;0;430.56;214.164.503;856.658.011;1.070.822.514;0
9;RENTA;9;0;9;CAPITAL;ASUNCION;PENDIENTE;0;0;Carreteros del Chaco c/ Av. J. L. Mallorquin;BALDIO;VIVIENDA ;9.125;10-595-07;EN GESTION JUDICIAL;2023-10-23 04:01:49;2023-10-23 04:01:49;0;0;0;ANA JOSEFINA GONZALEZ DE MELOT; N/A ;0;EN PROCESO JUDICIAL POR COBRO;0;0/1/00;0;A;416;0;0;191.3;77.877.999;126.551.752;204.429.751;0
10;RENTA;10;0;10;CAPITAL;ASUNCION;PENDIENTE;0;0;FALSO;BALDIO;VIVIENDA ;5.882;11-167-23;ALQUILADO;2023-10-23 04:01:49;2023-10-23 04:01:49;0;0;0; MARIA CELESTE ACHA DE JARA; Gs 2.361.298 ;0;RCA 106-009/16. CONTRATO VIGENTE AL 31/12/2018;FALSO;1/1/17; 31/12/2018;A;432;0;0;555.56;418.594.257;564.615.507;983.209.764;0
