"COD_ESPEC","NM_ESPEC_MED","NM_PRODUTO","COD_APRES_PRD","NM_APRES_PRD","QTDE_DOSE"
181,NEURODESARROLLO ,AMOXICILINA 500MG/5ML ,11,KIT,1
160,CLIMATERIO,AMOXICILINA 500MG/5ML ,11,KIT,1
139,INFECTOLOGIA PEDIATRICA,AMOXICILINA 500MG/5ML ,11,KIT,1
109,HEMATOLOGIA PEDIATRICA,AMOXICILINA 500MG/5ML ,11,KIT,1
60,GASTROENTEROLOGIA PEDIATRICA,AMOXICILINA 500MG/5ML ,11,KIT,1
58,MASTOLOGIA,AMOXICILINA 500MG/5ML ,11,KIT,1
57,DIABETOLOGIA,AMOXICILINA 500MG/5ML ,11,KIT,1
42,DERMATOLOGIA PEDIATRICA,AMOXICILINA 500MG/5ML ,11,KIT,1
37,PEDIATRIA,AMOXICILINA 500MG/5ML ,11,KIT,1
37,PEDIATRIA,AMOXICILINA 500MG/5ML ,11,KIT,1
11,CLINICA MEDICA,AMOXICILINA 500MG/5ML ,11,KIT,1
10,GASTROENTEROLOGIA,AMOXICILINA 500MG/5ML ,11,KIT,1
6,NEFROLOGIA PEDIATRICA,AMOXICILINA 500MG/5ML ,11,KIT,1
170,ESTUDIOS HEMODINAMIA ,AMOXICILINA 500MG/5ML ,11,KIT,1
204,UNIDAD DE OBSTETRICIA,AMOXICILINA + SULBACTAN 875 MG + 125 MG ,3,UNIDAD,14
34,GINECOLOGIA,AMOXICILINA + SULBACTAN 875 MG + 125 MG ,3,UNIDAD,1
33,GINECO-OBSTETRICIA,AMOXICILINA + SULBACTAN 875 MG + 125 MG ,3,UNIDAD,1
181,NEURODESARROLLO ,AMOXICILINA + SULBACTAN 875 MG + 125 MG ,4,COMPR.RECUBIERTO 875MG+12GMG,20
160,CLIMATERIO,AMOXICILINA + SULBACTAN 875 MG + 125 MG ,4,COMPR.RECUBIERTO 875MG+12GMG,20
139,INFECTOLOGIA PEDIATRICA,AMOXICILINA + SULBACTAN 875 MG + 125 MG ,4,COMPR.RECUBIERTO 875MG+12GMG,20
57,DIABETOLOGIA,AMOXICILINA + SULBACTAN 875 MG + 125 MG ,4,COMPR.RECUBIERTO 875MG+12GMG,20
42,DERMATOLOGIA PEDIATRICA,AMOXICILINA + SULBACTAN 875 MG + 125 MG ,4,COMPR.RECUBIERTO 875MG+12GMG,20
37,PEDIATRIA,AMOXICILINA + SULBACTAN 875 MG + 125 MG ,4,COMPR.RECUBIERTO 875MG+12GMG,20
34,GINECOLOGIA,AMOXICILINA + SULBACTAN 875 MG + 125 MG ,4,COMPR.RECUBIERTO 875MG+12GMG,20
31,OBSTETRICIA,AMOXICILINA + SULBACTAN 875 MG + 125 MG ,4,COMPR.RECUBIERTO 875MG+12GMG,20
11,CLINICA MEDICA,AMOXICILINA + SULBACTAN 875 MG + 125 MG ,4,COMPR.RECUBIERTO 875MG+12GMG,20
11,CLINICA MEDICA,AMOXICILINA + SULBACTAN 875 MG + 125 MG ,4,COMPR.RECUBIERTO 875MG+12GMG,20
10,GASTROENTEROLOGIA,AMOXICILINA + SULBACTAN 875 MG + 125 MG ,4,COMPR.RECUBIERTO 875MG+12GMG,20
4,ENDOCRINOLOGIA,AMOXICILINA + SULBACTAN 875 MG + 125 MG ,4,COMPR.RECUBIERTO 875MG+12GMG,20
170,ESTUDIOS HEMODINAMIA ,AMOXICILINA + SULBACTAN 875 MG + 125 MG ,4,COMPR.RECUBIERTO 875MG+12GMG,20
181,NEURODESARROLLO ,AMOXICILINA+SULBACTAM 1 G + 250 MG/5 ML  ,12,KIT,1
160,CLIMATERIO,AMOXICILINA+SULBACTAM 1 G + 250 MG/5 ML  ,12,KIT,1
139,INFECTOLOGIA PEDIATRICA,AMOXICILINA+SULBACTAM 1 G + 250 MG/5 ML  ,12,KIT,1
57,DIABETOLOGIA,AMOXICILINA+SULBACTAM 1 G + 250 MG/5 ML  ,12,KIT,1
42,DERMATOLOGIA PEDIATRICA,AMOXICILINA+SULBACTAM 1 G + 250 MG/5 ML  ,12,KIT,1
37,PEDIATRIA,AMOXICILINA+SULBACTAM 1 G + 250 MG/5 ML  ,12,KIT,1
11,CLINICA MEDICA,AMOXICILINA+SULBACTAM 1 G + 250 MG/5 ML  ,12,KIT,1
11,CLINICA MEDICA,AMOXICILINA+SULBACTAM 1 G + 250 MG/5 ML  ,12,KIT,1
10,GASTROENTEROLOGIA,AMOXICILINA+SULBACTAM 1 G + 250 MG/5 ML  ,12,KIT,1
4,ENDOCRINOLOGIA,AMOXICILINA+SULBACTAM 1 G + 250 MG/5 ML  ,12,KIT,1
170,ESTUDIOS HEMODINAMIA ,AMOXICILINA+SULBACTAM 1 G + 250 MG/5 ML  ,12,KIT,1
139,INFECTOLOGIA PEDIATRICA,PIPERACILINA + TAZOBACTAM 4G + 500MG,2,FRASCO AMPOLLA,1
47,INFECTOLOGIA,PIPERACILINA + TAZOBACTAM 4G + 500MG,2,FRASCO AMPOLLA,1
23,URGENCIAS CLINICA MEDICA,PIPERACILINA + TAZOBACTAM 4G + 500MG,2,FRASCO AMPOLLA,1
14,URGENCIAS PEDIATRICAS,PIPERACILINA + TAZOBACTAM 4G + 500MG,2,FRASCO AMPOLLA,1
199,TELESALUD HV,CEFOPERAZONA + SULBACTAN 1G + 1G INYECTABLE     ,2,FRASCO AMPOLLA,1
160,CLIMATERIO,CEFOPERAZONA + SULBACTAN 1G + 1G INYECTABLE     ,2,FRASCO AMPOLLA,1
139,INFECTOLOGIA PEDIATRICA,CEFOPERAZONA + SULBACTAN 1G + 1G INYECTABLE     ,2,FRASCO AMPOLLA,1
89,GERIATRIA,CEFOPERAZONA + SULBACTAN 1G + 1G INYECTABLE     ,2,FRASCO AMPOLLA,1
48,TERAPIA INTENSIVA,CEFOPERAZONA + SULBACTAN 1G + 1G INYECTABLE     ,2,FRASCO AMPOLLA,1
47,INFECTOLOGIA,CEFOPERAZONA + SULBACTAN 1G + 1G INYECTABLE     ,2,FRASCO AMPOLLA,1
37,PEDIATRIA,CEFOPERAZONA + SULBACTAN 1G + 1G INYECTABLE     ,2,FRASCO AMPOLLA,1
34,GINECOLOGIA,CEFOPERAZONA + SULBACTAN 1G + 1G INYECTABLE     ,2,FRASCO AMPOLLA,1
28,CIRUGIA GENERAL,CEFOPERAZONA + SULBACTAN 1G + 1G INYECTABLE     ,2,FRASCO AMPOLLA,1
21,UROLOGIA,CEFOPERAZONA + SULBACTAN 1G + 1G INYECTABLE     ,2,FRASCO AMPOLLA,1
11,CLINICA MEDICA,CEFOPERAZONA + SULBACTAN 1G + 1G INYECTABLE     ,2,FRASCO AMPOLLA,1
199,TELESALUD HV,CEFALEXINA 500 MG/5ML.,11,KIT,2
181,NEURODESARROLLO ,CEFALEXINA 500 MG/5ML.,11,KIT,1
160,CLIMATERIO,CEFALEXINA 500 MG/5ML.,11,KIT,1
139,INFECTOLOGIA PEDIATRICA,CEFALEXINA 500 MG/5ML.,11,KIT,1
42,DERMATOLOGIA PEDIATRICA,CEFALEXINA 500 MG/5ML.,11,KIT,1
37,PEDIATRIA,CEFALEXINA 500 MG/5ML.,11,KIT,1
31,OBSTETRICIA,CEFALEXINA 500 MG/5ML.,11,KIT,20
11,CLINICA MEDICA,CEFALEXINA 500 MG/5ML.,11,KIT,1
170,ESTUDIOS HEMODINAMIA ,CEFALEXINA 500 MG/5ML.,11,KIT,2
199,TELESALUD HV,METFORMINA 850 MG. ,3,COMPRIMIDO RECUBIERTO,30
160,CLIMATERIO,METFORMINA 850 MG. ,3,COMPRIMIDO RECUBIERTO,20
101,MEDICINA FAMILIAR,METFORMINA 850 MG. ,3,COMPRIMIDO RECUBIERTO,20
